,HBName,CAName,Year,InjuryType,NumberofDeaths
1984,NHS Tayside,Angus,2012,"Struck by,against",0
1985,NHS Tayside,Angus,2012,Crushing,0
1986,NHS Tayside,Angus,2012,Scalds,0
1987,NHS Tayside,Angus,2012,Accidental exposure,0
1988,NHS Tayside,Angus,2012,Other,1
1990,NHS Tayside,Angus,2013,Land transport accidents,3
1991,NHS Tayside,Angus,2013,Poisoning,8
1992,NHS Tayside,Angus,2013,Falls,14
1993,NHS Tayside,Angus,2013,"Struck by,against",1
1994,NHS Tayside,Angus,2013,Crushing,0
1995,NHS Tayside,Angus,2013,Scalds,0
1996,NHS Tayside,Angus,2013,Accidental exposure,0
1997,NHS Tayside,Angus,2013,Other,2
1999,NHS Tayside,Angus,2014,Land transport accidents,2
2000,NHS Tayside,Angus,2014,Poisoning,8
2001,NHS Tayside,Angus,2014,Falls,15
2002,NHS Tayside,Angus,2014,"Struck by,against",0
2003,NHS Tayside,Angus,2014,Crushing,0
2004,NHS Tayside,Angus,2014,Scalds,0
2005,NHS Tayside,Angus,2014,Accidental exposure,1
2006,NHS Tayside,Angus,2014,Other,5
2008,NHS Tayside,Angus,2015,Land transport accidents,4
2009,NHS Tayside,Angus,2015,Poisoning,17
2010,NHS Tayside,Angus,2015,Falls,17
2011,NHS Tayside,Angus,2015,"Struck by,against",0
2012,NHS Tayside,Angus,2015,Crushing,0
2013,NHS Tayside,Angus,2015,Scalds,0
2014,NHS Tayside,Angus,2015,Accidental exposure,2
2015,NHS Tayside,Angus,2015,Other,2
2017,NHS Tayside,Angus,2016,Land transport accidents,4
2018,NHS Tayside,Angus,2016,Poisoning,11
2019,NHS Tayside,Angus,2016,Falls,33
2020,NHS Tayside,Angus,2016,"Struck by,against",1
2021,NHS Tayside,Angus,2016,Crushing,0
2022,NHS Tayside,Angus,2016,Scalds,0
2023,NHS Tayside,Angus,2016,Accidental exposure,4
2024,NHS Tayside,Angus,2016,Other,4
2026,NHS Tayside,Angus,2017,Land transport accidents,8
2027,NHS Tayside,Angus,2017,Poisoning,18
2028,NHS Tayside,Angus,2017,Falls,16
2029,NHS Tayside,Angus,2017,"Struck by,against",0
2030,NHS Tayside,Angus,2017,Crushing,0
2031,NHS Tayside,Angus,2017,Scalds,0
2032,NHS Tayside,Angus,2017,Accidental exposure,0
2033,NHS Tayside,Angus,2017,Other,3
2035,NHS Tayside,Angus,2018,Land transport accidents,3
2036,NHS Tayside,Angus,2018,Poisoning,12
2037,NHS Tayside,Angus,2018,Falls,21
2038,NHS Tayside,Angus,2018,"Struck by,against",0
2039,NHS Tayside,Angus,2018,Crushing,0
2040,NHS Tayside,Angus,2018,Scalds,0
2041,NHS Tayside,Angus,2018,Accidental exposure,2
2042,NHS Tayside,Angus,2018,Other,3
2044,NHS Tayside,Angus,2019,Land transport accidents,4
2045,NHS Tayside,Angus,2019,Poisoning,25
2046,NHS Tayside,Angus,2019,Falls,24
2047,NHS Tayside,Angus,2019,"Struck by,against",1
2048,NHS Tayside,Angus,2019,Crushing,0
2049,NHS Tayside,Angus,2019,Scalds,0
2050,NHS Tayside,Angus,2019,Accidental exposure,0
2051,NHS Tayside,Angus,2019,Other,5
2053,NHS Tayside,Angus,2020,Land transport accidents,2
2054,NHS Tayside,Angus,2020,Poisoning,18
2055,NHS Tayside,Angus,2020,Falls,22
2056,NHS Tayside,Angus,2020,"Struck by,against",0
2057,NHS Tayside,Angus,2020,Crushing,0
2058,NHS Tayside,Angus,2020,Scalds,0
2059,NHS Tayside,Angus,2020,Accidental exposure,4
2060,NHS Tayside,Angus,2020,Other,2
2062,NHS Tayside,Angus,2021,Land transport accidents,3
2063,NHS Tayside,Angus,2021,Poisoning,17
2064,NHS Tayside,Angus,2021,Falls,29
2065,NHS Tayside,Angus,2021,"Struck by,against",0
2066,NHS Tayside,Angus,2021,Crushing,1
2067,NHS Tayside,Angus,2021,Scalds,0
2068,NHS Tayside,Angus,2021,Accidental exposure,4
2069,NHS Tayside,Angus,2021,Other,5
2071,NHS Tayside,Dundee City,2012,Land transport accidents,1
2072,NHS Tayside,Dundee City,2012,Poisoning,33
2073,NHS Tayside,Dundee City,2012,Falls,33
2074,NHS Tayside,Dundee City,2012,"Struck by,against",0
2075,NHS Tayside,Dundee City,2012,Crushing,0
2076,NHS Tayside,Dundee City,2012,Scalds,0
2077,NHS Tayside,Dundee City,2012,Accidental exposure,2
2078,NHS Tayside,Dundee City,2012,Other,7
2080,NHS Tayside,Dundee City,2013,Land transport accidents,6
2081,NHS Tayside,Dundee City,2013,Poisoning,23
2082,NHS Tayside,Dundee City,2013,Falls,13
2083,NHS Tayside,Dundee City,2013,"Struck by,against",0
2084,NHS Tayside,Dundee City,2013,Crushing,0
2085,NHS Tayside,Dundee City,2013,Scalds,0
2086,NHS Tayside,Dundee City,2013,Accidental exposure,2
2087,NHS Tayside,Dundee City,2013,Other,3
2089,NHS Tayside,Dundee City,2014,Land transport accidents,5
2090,NHS Tayside,Dundee City,2014,Poisoning,28
2091,NHS Tayside,Dundee City,2014,Falls,23
2092,NHS Tayside,Dundee City,2014,"Struck by,against",0
2093,NHS Tayside,Dundee City,2014,Crushing,0
2094,NHS Tayside,Dundee City,2014,Scalds,0
2095,NHS Tayside,Dundee City,2014,Accidental exposure,3
2096,NHS Tayside,Dundee City,2014,Other,7
2098,NHS Tayside,Dundee City,2015,Land transport accidents,4
2099,NHS Tayside,Dundee City,2015,Poisoning,32
2100,NHS Tayside,Dundee City,2015,Falls,18
2101,NHS Tayside,Dundee City,2015,"Struck by,against",0
2102,NHS Tayside,Dundee City,2015,Crushing,0
2103,NHS Tayside,Dundee City,2015,Scalds,0
2104,NHS Tayside,Dundee City,2015,Accidental exposure,2
2105,NHS Tayside,Dundee City,2015,Other,8
2107,NHS Tayside,Dundee City,2016,Land transport accidents,6
2108,NHS Tayside,Dundee City,2016,Poisoning,39
2109,NHS Tayside,Dundee City,2016,Falls,17
2110,NHS Tayside,Dundee City,2016,"Struck by,against",0
2111,NHS Tayside,Dundee City,2016,Crushing,1
2112,NHS Tayside,Dundee City,2016,Scalds,0
2113,NHS Tayside,Dundee City,2016,Accidental exposure,3
2114,NHS Tayside,Dundee City,2016,Other,5
2116,NHS Tayside,Dundee City,2017,Land transport accidents,5
2117,NHS Tayside,Dundee City,2017,Poisoning,52
2118,NHS Tayside,Dundee City,2017,Falls,22
2119,NHS Tayside,Dundee City,2017,"Struck by,against",0
2120,NHS Tayside,Dundee City,2017,Crushing,0
2121,NHS Tayside,Dundee City,2017,Scalds,0
2122,NHS Tayside,Dundee City,2017,Accidental exposure,2
2123,NHS Tayside,Dundee City,2017,Other,6
2125,NHS Tayside,Dundee City,2018,Land transport accidents,1
2126,NHS Tayside,Dundee City,2018,Poisoning,60
2127,NHS Tayside,Dundee City,2018,Falls,26
2128,NHS Tayside,Dundee City,2018,"Struck by,against",0
2129,NHS Tayside,Dundee City,2018,Crushing,0
2130,NHS Tayside,Dundee City,2018,Scalds,0
2131,NHS Tayside,Dundee City,2018,Accidental exposure,3
2132,NHS Tayside,Dundee City,2018,Other,4
2134,NHS Tayside,Dundee City,2019,Land transport accidents,3
2135,NHS Tayside,Dundee City,2019,Poisoning,64
2136,NHS Tayside,Dundee City,2019,Falls,17
2137,NHS Tayside,Dundee City,2019,"Struck by,against",0
2138,NHS Tayside,Dundee City,2019,Crushing,1
2139,NHS Tayside,Dundee City,2019,Scalds,0
2140,NHS Tayside,Dundee City,2019,Accidental exposure,1
2141,NHS Tayside,Dundee City,2019,Other,2
2143,NHS Tayside,Dundee City,2020,Land transport accidents,6
2144,NHS Tayside,Dundee City,2020,Poisoning,52
2145,NHS Tayside,Dundee City,2020,Falls,20
2146,NHS Tayside,Dundee City,2020,"Struck by,against",0
2147,NHS Tayside,Dundee City,2020,Crushing,0
2148,NHS Tayside,Dundee City,2020,Scalds,0
2149,NHS Tayside,Dundee City,2020,Accidental exposure,5
2150,NHS Tayside,Dundee City,2020,Other,9
2152,NHS Tayside,Dundee City,2021,Land transport accidents,2
2153,NHS Tayside,Dundee City,2021,Poisoning,54
2154,NHS Tayside,Dundee City,2021,Falls,37
2155,NHS Tayside,Dundee City,2021,"Struck by,against",0
2156,NHS Tayside,Dundee City,2021,Crushing,0
2157,NHS Tayside,Dundee City,2021,Scalds,0
2158,NHS Tayside,Dundee City,2021,Accidental exposure,7
2159,NHS Tayside,Dundee City,2021,Other,3
2161,NHS Tayside,Dundee City,2012,Land transport accidents,1
2162,NHS Tayside,Dundee City,2012,Poisoning,33
2163,NHS Tayside,Dundee City,2012,Falls,33
2164,NHS Tayside,Dundee City,2012,"Struck by,against",0
2165,NHS Tayside,Dundee City,2012,Crushing,0
2166,NHS Tayside,Dundee City,2012,Scalds,0
2167,NHS Tayside,Dundee City,2012,Accidental exposure,2
2168,NHS Tayside,Dundee City,2012,Other,7
2170,NHS Tayside,Dundee City,2013,Land transport accidents,6
2171,NHS Tayside,Dundee City,2013,Poisoning,23
2172,NHS Tayside,Dundee City,2013,Falls,13
2173,NHS Tayside,Dundee City,2013,"Struck by,against",0
2174,NHS Tayside,Dundee City,2013,Crushing,0
2175,NHS Tayside,Dundee City,2013,Scalds,0
2176,NHS Tayside,Dundee City,2013,Accidental exposure,2
2177,NHS Tayside,Dundee City,2013,Other,3
2179,NHS Tayside,Dundee City,2014,Land transport accidents,5
2180,NHS Tayside,Dundee City,2014,Poisoning,28
2181,NHS Tayside,Dundee City,2014,Falls,23
2182,NHS Tayside,Dundee City,2014,"Struck by,against",0
2183,NHS Tayside,Dundee City,2014,Crushing,0
2184,NHS Tayside,Dundee City,2014,Scalds,0
2185,NHS Tayside,Dundee City,2014,Accidental exposure,3
2186,NHS Tayside,Dundee City,2014,Other,7
2188,NHS Tayside,Dundee City,2015,Land transport accidents,4
2189,NHS Tayside,Dundee City,2015,Poisoning,32
2190,NHS Tayside,Dundee City,2015,Falls,18
2191,NHS Tayside,Dundee City,2015,"Struck by,against",0
2192,NHS Tayside,Dundee City,2015,Crushing,0
2193,NHS Tayside,Dundee City,2015,Scalds,0
2194,NHS Tayside,Dundee City,2015,Accidental exposure,2
2195,NHS Tayside,Dundee City,2015,Other,8
2197,NHS Tayside,Dundee City,2016,Land transport accidents,6
2198,NHS Tayside,Dundee City,2016,Poisoning,39
2199,NHS Tayside,Dundee City,2016,Falls,17
2200,NHS Tayside,Dundee City,2016,"Struck by,against",0
2201,NHS Tayside,Dundee City,2016,Crushing,1
2202,NHS Tayside,Dundee City,2016,Scalds,0
2203,NHS Tayside,Dundee City,2016,Accidental exposure,3
2204,NHS Tayside,Dundee City,2016,Other,5
2206,NHS Tayside,Dundee City,2017,Land transport accidents,5
2207,NHS Tayside,Dundee City,2017,Poisoning,52
2208,NHS Tayside,Dundee City,2017,Falls,22
2209,NHS Tayside,Dundee City,2017,"Struck by,against",0
2210,NHS Tayside,Dundee City,2017,Crushing,0
2211,NHS Tayside,Dundee City,2017,Scalds,0
2212,NHS Tayside,Dundee City,2017,Accidental exposure,2
2213,NHS Tayside,Dundee City,2017,Other,6
2215,NHS Tayside,Dundee City,2018,Land transport accidents,1
2216,NHS Tayside,Dundee City,2018,Poisoning,60
2217,NHS Tayside,Dundee City,2018,Falls,26
2218,NHS Tayside,Dundee City,2018,"Struck by,against",0
2219,NHS Tayside,Dundee City,2018,Crushing,0
2220,NHS Tayside,Dundee City,2018,Scalds,0
2221,NHS Tayside,Dundee City,2018,Accidental exposure,3
2222,NHS Tayside,Dundee City,2018,Other,4
2224,NHS Tayside,Dundee City,2019,Land transport accidents,3
2225,NHS Tayside,Dundee City,2019,Poisoning,64
2226,NHS Tayside,Dundee City,2019,Falls,17
2227,NHS Tayside,Dundee City,2019,"Struck by,against",0
2228,NHS Tayside,Dundee City,2019,Crushing,1
2229,NHS Tayside,Dundee City,2019,Scalds,0
2230,NHS Tayside,Dundee City,2019,Accidental exposure,1
2231,NHS Tayside,Dundee City,2019,Other,2
2233,NHS Tayside,Dundee City,2020,Land transport accidents,6
2234,NHS Tayside,Dundee City,2020,Poisoning,52
2235,NHS Tayside,Dundee City,2020,Falls,20
2236,NHS Tayside,Dundee City,2020,"Struck by,against",0
2237,NHS Tayside,Dundee City,2020,Crushing,0
2238,NHS Tayside,Dundee City,2020,Scalds,0
2239,NHS Tayside,Dundee City,2020,Accidental exposure,5
2240,NHS Tayside,Dundee City,2020,Other,9
2242,NHS Tayside,Dundee City,2021,Land transport accidents,2
2243,NHS Tayside,Dundee City,2021,Poisoning,54
2244,NHS Tayside,Dundee City,2021,Falls,37
2245,NHS Tayside,Dundee City,2021,"Struck by,against",0
2246,NHS Tayside,Dundee City,2021,Crushing,0
2247,NHS Tayside,Dundee City,2021,Scalds,0
2248,NHS Tayside,Dundee City,2021,Accidental exposure,7
2249,NHS Tayside,Dundee City,2021,Other,3
2251,NHS Tayside,Perth and Kinross,2012,Land transport accidents,9
2252,NHS Tayside,Perth and Kinross,2012,Poisoning,11
2253,NHS Tayside,Perth and Kinross,2012,Falls,23
2254,NHS Tayside,Perth and Kinross,2012,"Struck by,against",0
2255,NHS Tayside,Perth and Kinross,2012,Crushing,0
2256,NHS Tayside,Perth and Kinross,2012,Scalds,0
2257,NHS Tayside,Perth and Kinross,2012,Accidental exposure,2
2258,NHS Tayside,Perth and Kinross,2012,Other,7
2260,NHS Tayside,Perth and Kinross,2013,Land transport accidents,5
2261,NHS Tayside,Perth and Kinross,2013,Poisoning,5
2262,NHS Tayside,Perth and Kinross,2013,Falls,25
2263,NHS Tayside,Perth and Kinross,2013,"Struck by,against",0
2264,NHS Tayside,Perth and Kinross,2013,Crushing,0
2265,NHS Tayside,Perth and Kinross,2013,Scalds,0
2266,NHS Tayside,Perth and Kinross,2013,Accidental exposure,0
2267,NHS Tayside,Perth and Kinross,2013,Other,3
2269,NHS Tayside,Perth and Kinross,2014,Land transport accidents,9
2270,NHS Tayside,Perth and Kinross,2014,Poisoning,6
2271,NHS Tayside,Perth and Kinross,2014,Falls,13
2272,NHS Tayside,Perth and Kinross,2014,"Struck by,against",0
2273,NHS Tayside,Perth and Kinross,2014,Crushing,0
2274,NHS Tayside,Perth and Kinross,2014,Scalds,0
2275,NHS Tayside,Perth and Kinross,2014,Accidental exposure,2
2276,NHS Tayside,Perth and Kinross,2014,Other,0
2278,NHS Tayside,Perth and Kinross,2015,Land transport accidents,2
2279,NHS Tayside,Perth and Kinross,2015,Poisoning,12
2280,NHS Tayside,Perth and Kinross,2015,Falls,18
2281,NHS Tayside,Perth and Kinross,2015,"Struck by,against",0
2282,NHS Tayside,Perth and Kinross,2015,Crushing,1
2283,NHS Tayside,Perth and Kinross,2015,Scalds,0
2284,NHS Tayside,Perth and Kinross,2015,Accidental exposure,7
2285,NHS Tayside,Perth and Kinross,2015,Other,1
2287,NHS Tayside,Perth and Kinross,2016,Land transport accidents,5
2288,NHS Tayside,Perth and Kinross,2016,Poisoning,8
2289,NHS Tayside,Perth and Kinross,2016,Falls,30
2290,NHS Tayside,Perth and Kinross,2016,"Struck by,against",0
2291,NHS Tayside,Perth and Kinross,2016,Crushing,0
2292,NHS Tayside,Perth and Kinross,2016,Scalds,0
2293,NHS Tayside,Perth and Kinross,2016,Accidental exposure,1
2294,NHS Tayside,Perth and Kinross,2016,Other,5
2296,NHS Tayside,Perth and Kinross,2017,Land transport accidents,9
2297,NHS Tayside,Perth and Kinross,2017,Poisoning,17
2298,NHS Tayside,Perth and Kinross,2017,Falls,32
2299,NHS Tayside,Perth and Kinross,2017,"Struck by,against",0
2300,NHS Tayside,Perth and Kinross,2017,Crushing,0
2301,NHS Tayside,Perth and Kinross,2017,Scalds,0
2302,NHS Tayside,Perth and Kinross,2017,Accidental exposure,2
2303,NHS Tayside,Perth and Kinross,2017,Other,4
2305,NHS Tayside,Perth and Kinross,2018,Land transport accidents,5
2306,NHS Tayside,Perth and Kinross,2018,Poisoning,26
2307,NHS Tayside,Perth and Kinross,2018,Falls,40
2308,NHS Tayside,Perth and Kinross,2018,"Struck by,against",0
2309,NHS Tayside,Perth and Kinross,2018,Crushing,0
2310,NHS Tayside,Perth and Kinross,2018,Scalds,0
2311,NHS Tayside,Perth and Kinross,2018,Accidental exposure,3
2312,NHS Tayside,Perth and Kinross,2018,Other,8
2314,NHS Tayside,Perth and Kinross,2019,Land transport accidents,6
2315,NHS Tayside,Perth and Kinross,2019,Poisoning,26
2316,NHS Tayside,Perth and Kinross,2019,Falls,23
2317,NHS Tayside,Perth and Kinross,2019,"Struck by,against",0
2318,NHS Tayside,Perth and Kinross,2019,Crushing,1
2319,NHS Tayside,Perth and Kinross,2019,Scalds,0
2320,NHS Tayside,Perth and Kinross,2019,Accidental exposure,0
2321,NHS Tayside,Perth and Kinross,2019,Other,7
2323,NHS Tayside,Perth and Kinross,2020,Land transport accidents,3
2324,NHS Tayside,Perth and Kinross,2020,Poisoning,34
2325,NHS Tayside,Perth and Kinross,2020,Falls,39
2326,NHS Tayside,Perth and Kinross,2020,"Struck by,against",0
2327,NHS Tayside,Perth and Kinross,2020,Crushing,0
2328,NHS Tayside,Perth and Kinross,2020,Scalds,0
2329,NHS Tayside,Perth and Kinross,2020,Accidental exposure,3
2330,NHS Tayside,Perth and Kinross,2020,Other,1
2332,NHS Tayside,Perth and Kinross,2021,Land transport accidents,2
2333,NHS Tayside,Perth and Kinross,2021,Poisoning,18
2334,NHS Tayside,Perth and Kinross,2021,Falls,27
2335,NHS Tayside,Perth and Kinross,2021,"Struck by,against",0
2336,NHS Tayside,Perth and Kinross,2021,Crushing,0
2337,NHS Tayside,Perth and Kinross,2021,Scalds,0
2338,NHS Tayside,Perth and Kinross,2021,Accidental exposure,2
2339,NHS Tayside,Perth and Kinross,2021,Other,8
2341,NHS Greater Glasgow and Clyde,East Renfrewshire,2012,Land transport accidents,1
2342,NHS Greater Glasgow and Clyde,East Renfrewshire,2012,Poisoning,6
2343,NHS Greater Glasgow and Clyde,East Renfrewshire,2012,Falls,13
2344,NHS Greater Glasgow and Clyde,East Renfrewshire,2012,"Struck by,against",0
2345,NHS Greater Glasgow and Clyde,East Renfrewshire,2012,Crushing,0
2346,NHS Greater Glasgow and Clyde,East Renfrewshire,2012,Scalds,0
2347,NHS Greater Glasgow and Clyde,East Renfrewshire,2012,Accidental exposure,1
2348,NHS Greater Glasgow and Clyde,East Renfrewshire,2012,Other,1
2350,NHS Greater Glasgow and Clyde,East Renfrewshire,2013,Land transport accidents,5
2351,NHS Greater Glasgow and Clyde,East Renfrewshire,2013,Poisoning,4
2352,NHS Greater Glasgow and Clyde,East Renfrewshire,2013,Falls,12
2353,NHS Greater Glasgow and Clyde,East Renfrewshire,2013,"Struck by,against",0
2354,NHS Greater Glasgow and Clyde,East Renfrewshire,2013,Crushing,0
2355,NHS Greater Glasgow and Clyde,East Renfrewshire,2013,Scalds,0
2356,NHS Greater Glasgow and Clyde,East Renfrewshire,2013,Accidental exposure,2
2357,NHS Greater Glasgow and Clyde,East Renfrewshire,2013,Other,1
2359,NHS Greater Glasgow and Clyde,East Renfrewshire,2014,Land transport accidents,3
2360,NHS Greater Glasgow and Clyde,East Renfrewshire,2014,Poisoning,4
2361,NHS Greater Glasgow and Clyde,East Renfrewshire,2014,Falls,14
2362,NHS Greater Glasgow and Clyde,East Renfrewshire,2014,"Struck by,against",0
2363,NHS Greater Glasgow and Clyde,East Renfrewshire,2014,Crushing,0
2364,NHS Greater Glasgow and Clyde,East Renfrewshire,2014,Scalds,0
2365,NHS Greater Glasgow and Clyde,East Renfrewshire,2014,Accidental exposure,3
2366,NHS Greater Glasgow and Clyde,East Renfrewshire,2014,Other,2
2368,NHS Greater Glasgow and Clyde,East Renfrewshire,2015,Land transport accidents,0
2369,NHS Greater Glasgow and Clyde,East Renfrewshire,2015,Poisoning,6
2370,NHS Greater Glasgow and Clyde,East Renfrewshire,2015,Falls,10
2371,NHS Greater Glasgow and Clyde,East Renfrewshire,2015,"Struck by,against",0
2372,NHS Greater Glasgow and Clyde,East Renfrewshire,2015,Crushing,0
2373,NHS Greater Glasgow and Clyde,East Renfrewshire,2015,Scalds,0
2374,NHS Greater Glasgow and Clyde,East Renfrewshire,2015,Accidental exposure,1
2375,NHS Greater Glasgow and Clyde,East Renfrewshire,2015,Other,1
2377,NHS Greater Glasgow and Clyde,East Renfrewshire,2016,Land transport accidents,0
2378,NHS Greater Glasgow and Clyde,East Renfrewshire,2016,Poisoning,6
2379,NHS Greater Glasgow and Clyde,East Renfrewshire,2016,Falls,18
2380,NHS Greater Glasgow and Clyde,East Renfrewshire,2016,"Struck by,against",0
2381,NHS Greater Glasgow and Clyde,East Renfrewshire,2016,Crushing,0
2382,NHS Greater Glasgow and Clyde,East Renfrewshire,2016,Scalds,0
2383,NHS Greater Glasgow and Clyde,East Renfrewshire,2016,Accidental exposure,2
2384,NHS Greater Glasgow and Clyde,East Renfrewshire,2016,Other,5
2386,NHS Greater Glasgow and Clyde,East Renfrewshire,2017,Land transport accidents,2
2387,NHS Greater Glasgow and Clyde,East Renfrewshire,2017,Poisoning,2
2388,NHS Greater Glasgow and Clyde,East Renfrewshire,2017,Falls,24
2389,NHS Greater Glasgow and Clyde,East Renfrewshire,2017,"Struck by,against",0
2390,NHS Greater Glasgow and Clyde,East Renfrewshire,2017,Crushing,0
2391,NHS Greater Glasgow and Clyde,East Renfrewshire,2017,Scalds,0
2392,NHS Greater Glasgow and Clyde,East Renfrewshire,2017,Accidental exposure,4
2393,NHS Greater Glasgow and Clyde,East Renfrewshire,2017,Other,0
2395,NHS Greater Glasgow and Clyde,East Renfrewshire,2018,Land transport accidents,0
2396,NHS Greater Glasgow and Clyde,East Renfrewshire,2018,Poisoning,13
2397,NHS Greater Glasgow and Clyde,East Renfrewshire,2018,Falls,15
2398,NHS Greater Glasgow and Clyde,East Renfrewshire,2018,"Struck by,against",0
2399,NHS Greater Glasgow and Clyde,East Renfrewshire,2018,Crushing,0
2400,NHS Greater Glasgow and Clyde,East Renfrewshire,2018,Scalds,0
2401,NHS Greater Glasgow and Clyde,East Renfrewshire,2018,Accidental exposure,0
2402,NHS Greater Glasgow and Clyde,East Renfrewshire,2018,Other,1
2404,NHS Greater Glasgow and Clyde,East Renfrewshire,2019,Land transport accidents,1
2405,NHS Greater Glasgow and Clyde,East Renfrewshire,2019,Poisoning,10
2406,NHS Greater Glasgow and Clyde,East Renfrewshire,2019,Falls,19
2407,NHS Greater Glasgow and Clyde,East Renfrewshire,2019,"Struck by,against",0
2408,NHS Greater Glasgow and Clyde,East Renfrewshire,2019,Crushing,0
2409,NHS Greater Glasgow and Clyde,East Renfrewshire,2019,Scalds,0
2410,NHS Greater Glasgow and Clyde,East Renfrewshire,2019,Accidental exposure,1
2411,NHS Greater Glasgow and Clyde,East Renfrewshire,2019,Other,2
2413,NHS Greater Glasgow and Clyde,East Renfrewshire,2020,Land transport accidents,1
2414,NHS Greater Glasgow and Clyde,East Renfrewshire,2020,Poisoning,11
2415,NHS Greater Glasgow and Clyde,East Renfrewshire,2020,Falls,11
2416,NHS Greater Glasgow and Clyde,East Renfrewshire,2020,"Struck by,against",0
2417,NHS Greater Glasgow and Clyde,East Renfrewshire,2020,Crushing,0
2418,NHS Greater Glasgow and Clyde,East Renfrewshire,2020,Scalds,0
2419,NHS Greater Glasgow and Clyde,East Renfrewshire,2020,Accidental exposure,1
2420,NHS Greater Glasgow and Clyde,East Renfrewshire,2020,Other,1
2422,NHS Greater Glasgow and Clyde,East Renfrewshire,2021,Land transport accidents,2
2423,NHS Greater Glasgow and Clyde,East Renfrewshire,2021,Poisoning,5
2424,NHS Greater Glasgow and Clyde,East Renfrewshire,2021,Falls,14
2425,NHS Greater Glasgow and Clyde,East Renfrewshire,2021,"Struck by,against",0
2426,NHS Greater Glasgow and Clyde,East Renfrewshire,2021,Crushing,0
2427,NHS Greater Glasgow and Clyde,East Renfrewshire,2021,Scalds,0
2428,NHS Greater Glasgow and Clyde,East Renfrewshire,2021,Accidental exposure,2
2429,NHS Greater Glasgow and Clyde,East Renfrewshire,2021,Other,0
2431,NHS Greater Glasgow and Clyde,East Renfrewshire,2012,Land transport accidents,1
2432,NHS Greater Glasgow and Clyde,East Renfrewshire,2012,Poisoning,6
2433,NHS Greater Glasgow and Clyde,East Renfrewshire,2012,Falls,13
2434,NHS Greater Glasgow and Clyde,East Renfrewshire,2012,"Struck by,against",0
2435,NHS Greater Glasgow and Clyde,East Renfrewshire,2012,Crushing,0
2436,NHS Greater Glasgow and Clyde,East Renfrewshire,2012,Scalds,0
2437,NHS Greater Glasgow and Clyde,East Renfrewshire,2012,Accidental exposure,1
2438,NHS Greater Glasgow and Clyde,East Renfrewshire,2012,Other,1
2440,NHS Greater Glasgow and Clyde,East Renfrewshire,2013,Land transport accidents,5
2441,NHS Greater Glasgow and Clyde,East Renfrewshire,2013,Poisoning,4
2442,NHS Greater Glasgow and Clyde,East Renfrewshire,2013,Falls,12
2443,NHS Greater Glasgow and Clyde,East Renfrewshire,2013,"Struck by,against",0
2444,NHS Greater Glasgow and Clyde,East Renfrewshire,2013,Crushing,0
2445,NHS Greater Glasgow and Clyde,East Renfrewshire,2013,Scalds,0
2446,NHS Greater Glasgow and Clyde,East Renfrewshire,2013,Accidental exposure,2
2447,NHS Greater Glasgow and Clyde,East Renfrewshire,2013,Other,1
2449,NHS Greater Glasgow and Clyde,East Renfrewshire,2014,Land transport accidents,3
2450,NHS Greater Glasgow and Clyde,East Renfrewshire,2014,Poisoning,4
2451,NHS Greater Glasgow and Clyde,East Renfrewshire,2014,Falls,14
2452,NHS Greater Glasgow and Clyde,East Renfrewshire,2014,"Struck by,against",0
2453,NHS Greater Glasgow and Clyde,East Renfrewshire,2014,Crushing,0
2454,NHS Greater Glasgow and Clyde,East Renfrewshire,2014,Scalds,0
2455,NHS Greater Glasgow and Clyde,East Renfrewshire,2014,Accidental exposure,3
2456,NHS Greater Glasgow and Clyde,East Renfrewshire,2014,Other,2
2458,NHS Greater Glasgow and Clyde,East Renfrewshire,2015,Land transport accidents,0
2459,NHS Greater Glasgow and Clyde,East Renfrewshire,2015,Poisoning,6
2460,NHS Greater Glasgow and Clyde,East Renfrewshire,2015,Falls,10
2461,NHS Greater Glasgow and Clyde,East Renfrewshire,2015,"Struck by,against",0
2462,NHS Greater Glasgow and Clyde,East Renfrewshire,2015,Crushing,0
2463,NHS Greater Glasgow and Clyde,East Renfrewshire,2015,Scalds,0
2464,NHS Greater Glasgow and Clyde,East Renfrewshire,2015,Accidental exposure,1
2465,NHS Greater Glasgow and Clyde,East Renfrewshire,2015,Other,1
2467,NHS Greater Glasgow and Clyde,East Renfrewshire,2016,Land transport accidents,0
2468,NHS Greater Glasgow and Clyde,East Renfrewshire,2016,Poisoning,6
2469,NHS Greater Glasgow and Clyde,East Renfrewshire,2016,Falls,18
2470,NHS Greater Glasgow and Clyde,East Renfrewshire,2016,"Struck by,against",0
2471,NHS Greater Glasgow and Clyde,East Renfrewshire,2016,Crushing,0
2472,NHS Greater Glasgow and Clyde,East Renfrewshire,2016,Scalds,0
2473,NHS Greater Glasgow and Clyde,East Renfrewshire,2016,Accidental exposure,2
2474,NHS Greater Glasgow and Clyde,East Renfrewshire,2016,Other,5
2476,NHS Greater Glasgow and Clyde,East Renfrewshire,2017,Land transport accidents,2
2477,NHS Greater Glasgow and Clyde,East Renfrewshire,2017,Poisoning,2
2478,NHS Greater Glasgow and Clyde,East Renfrewshire,2017,Falls,24
2479,NHS Greater Glasgow and Clyde,East Renfrewshire,2017,"Struck by,against",0
2480,NHS Greater Glasgow and Clyde,East Renfrewshire,2017,Crushing,0
2481,NHS Greater Glasgow and Clyde,East Renfrewshire,2017,Scalds,0
